Year,GeoType,GeoKey,VacancyRate,MedianHouseholdIncome,Source,RetrievedAt
2023,ZIP,78701,0.045,75000,ACS,2023-09-01T00:00:00Z
2023,ZIP,73301,0.042,72000,ACS,2023-09-01T00:00:00Z
2023,ZIP,75201,0.039,78000,ACS,2023-09-01T00:00:00Z
2023,ZIP,77002,0.048,70000,ACS,2023-09-01T00:00:00Z
2023,ZIP,27513,0.035,68000,ACS,2023-09-01T00:00:00Z
2023,ZIP,27601,0.041,65000,ACS,2023-09-01T00:00:00Z
2023,ZIP,28202,0.038,69000,ACS,2023-09-01T00:00:00Z
2023,ZIP,21201,0.052,62000,ACS,2023-09-01T00:00:00Z
2023,ZIP,21044,0.033,82000,ACS,2023-09-01T00:00:00Z
2023,ZIP,20850,0.031,90000,ACS,2023-09-01T00:00:00Z
