Year,GeoType,GeoKey,Bedrooms,Fmr,Source,RetrievedAt
2024,ZIP,78701,1,1500,HUD,2024-01-15T00:00:00Z
2024,ZIP,78701,2,1800,HUD,2024-01-15T00:00:00Z
2024,ZIP,78701,3,2200,HUD,2024-01-15T00:00:00Z
2024,ZIP,78701,4,2500,HUD,2024-01-15T00:00:00Z
2024,ZIP,73301,1,1400,HUD,2024-01-15T00:00:00Z
2024,ZIP,73301,2,1700,HUD,2024-01-15T00:00:00Z
2024,ZIP,73301,3,2050,HUD,2024-01-15T00:00:00Z
2024,ZIP,73301,4,2350,HUD,2024-01-15T00:00:00Z
2024,ZIP,75201,1,1550,HUD,2024-01-15T00:00:00Z
2024,ZIP,75201,2,1850,HUD,2024-01-15T00:00:00Z
2024,ZIP,75201,3,2250,HUD,2024-01-15T00:00:00Z
2024,ZIP,75201,4,2550,HUD,2024-01-15T00:00:00Z
2024,ZIP,77002,1,1450,HUD,2024-01-15T00:00:00Z
2024,ZIP,77002,2,1750,HUD,2024-01-15T00:00:00Z
2024,ZIP,77002,3,2100,HUD,2024-01-15T00:00:00Z
2024,ZIP,77002,4,2400,HUD,2024-01-15T00:00:00Z
2024,ZIP,27513,1,1350,HUD,2024-01-15T00:00:00Z
2024,ZIP,27513,2,1650,HUD,2024-01-15T00:00:00Z
2024,ZIP,27513,3,2000,HUD,2024-01-15T00:00:00Z
2024,ZIP,27513,4,2300,HUD,2024-01-15T00:00:00Z
2024,ZIP,27601,1,1300,HUD,2024-01-15T00:00:00Z
2024,ZIP,27601,2,1600,HUD,2024-01-15T00:00:00Z
2024,ZIP,27601,3,1950,HUD,2024-01-15T00:00:00Z
2024,ZIP,27601,4,2250,HUD,2024-01-15T00:00:00Z
2024,ZIP,28202,1,1500,HUD,2024-01-15T00:00:00Z
2024,ZIP,28202,2,1800,HUD,2024-01-15T00:00:00Z
2024,ZIP,28202,3,2150,HUD,2024-01-15T00:00:00Z
2024,ZIP,28202,4,2450,HUD,2024-01-15T00:00:00Z
2024,ZIP,21201,1,1400,HUD,2024-01-15T00:00:00Z
2024,ZIP,21201,2,1700,HUD,2024-01-15T00:00:00Z
2024,ZIP,21201,3,2050,HUD,2024-01-15T00:00:00Z
2024,ZIP,21201,4,2350,HUD,2024-01-15T00:00:00Z
2024,ZIP,21044,1,1450,HUD,2024-01-15T00:00:00Z
2024,ZIP,21044,2,1750,HUD,2024-01-15T00:00:00Z
2024,ZIP,21044,3,2100,HUD,2024-01-15T00:00:00Z
2024,ZIP,21044,4,2400,HUD,2024-01-15T00:00:00Z
2024,ZIP,20850,1,1600,HUD,2024-01-15T00:00:00Z
2024,ZIP,20850,2,1900,HUD,2024-01-15T00:00:00Z
2024,ZIP,20850,3,2300,HUD,2024-01-15T00:00:00Z
2024,ZIP,20850,4,2650,HUD,2024-01-15T00:00:00Z
